Benchmark	Description	ActualAvgRounds	MinScore	TIME_TO_SEC(timediff(TimeEnd, TimeStart))
rb-driver	One-way ring, de1220	494.1	0.003758439026466159	110
rb-driver	Ageing Extended Barabasi-Albert, de+de1220	606.2	0.008813837815553683	185
rb-driver	Ageing Extended Barabasi-Albert, pso_gen	1999	5714.947961626722	397
ra-driver	Watts-Strogatz, de+nelder mead	186.6	0.3044699071204491	44
rb-driver	Bidirectional chain, xnes	1999	53928.4639560328	429
ak-driver	Ageing Extended Barabasi-Albert, ihs	1999	3.1376940238204942	426
sw-driver	Bidirectional ring, xnes	1999	-477682.2133476315	410
rb-driver	Rim, de+nelder mead	138.5	0.00041733888479006	36
rb-driver	Broadcast, de+nsga2	1062.2	0.010417979648095113	167
sw-driver	Watts-Strogatz, de1220	219.9	0.00015865464138187235	53
ak-driver	Bidirectional chain, xnes	1999	16.843644479262977	427
sw-driver	Bidirectional chain, de+nelder mead	47.4	0.000000000006366462912410498	16
sw-driver	1-2-3 Ring, xnes	1999	-503787.5894036791	413
sw-driver	Watts-Strogatz, de+sade	315.6	0.00016963283542281715	69
ak-driver	Bidirectional ring, nsga2	1999	17.115908143362308	262
ra-driver	1-2-3 Ring, xnes	1999	134.3821083515898	445
ak-driver	Bidirectional ring, de	195	0.0450019040372962	49
ra-driver	1-2 Ring, de1220	164.7	0.2890012102450896	54
ra-driver	Rim, de+nelder mead	170.8	0.0000000000004263256414560601	55
ra-driver	Ageing Extended Barabasi-Albert, xnes	1999	135.76892701760593	445
ra-driver	1-2-3 Ring, de+de1220	163.4	0.27422635208313295	45
rb-driver	Barabasi-Albert, pso	1999	3647.6879589451682	321
rb-driver	Watts-Strogatz, bee_colony	452	0.00048685419371282995	100
ak-driver	Watts-Strogatz, xnes	1999	14.798271376518503	433
rb-driver	Barabasi-Albert, de+de1220	663.4	0.005445410667229865	144
sw-driver	Watts-Strogatz, sade	221.4	0.00019943083771067904	50
ak-driver	1-2 Ring, xnes	1999	16.812395619032273	425
ra-driver	Ageing Extended Barabasi-Albert, pso_gen	1999	83.79226825075271	336
sw-driver	Ageing Extended Barabasi-Albert, de	291.6	0.00017674757873464841	65
ak-driver	Rim, de+praxis	92.2	0.00000014461859665360066	25
ak-driver	Hypercube, de+nelder mead	67.9375	0.04003784580249148	281
ak-driver	Hypercube, xnes	1999	15.021108200919963	1070
ak-driver	Extended Barabasi-Albert, pso	1999	10.775319584978812	323
rb-driver	Watts-Strogatz, de+nelder mead	634.7	0.025366150204646658	152
sw-driver	Watts-Strogatz, xnes	1999	-413476.8012726529	414
sw-driver	1-2 Ring, cmaes	1999	-459995.0086818503	418
ra-driver	Bidirectional chain, cmaes	1999	160.12963134499012	441
ak-driver	One-way ring, ihs	1999	2.609687048214916	429
ak-driver	Watts-Strogatz, sade	137.7	0.04123768706339748	44
ak-driver	Broadcast, de+praxis	288.5	0.04441613541994771	58
gr-driver	1-2-3 Ring, de+de1220	292.7	0.00012626086113753932	72
ra-driver	Bidirectional ring, de+nelder mead	78.3	0.00000000000025579538487363607	291
ra-driver	Bidirectional chain, de	97.4	0.3098324246809341	304
ra-driver	Bidirectional chain, pso_gen	1999	82.45452112061179	610
ak-driver	Broadcast, de	292	0.04085577127927609	61
ak-driver	Broadcast, xnes	1999	15.149360090067454	357
ra-driver	Bidirectional chain, sade	127	0.25828784517074155	44
ra-driver	Bidirectional ring, de	155.8	0.23735759258451594	51
ra-driver	Extended Barabasi-Albert, sade	81.8	0.29375702025416217	209
rb-driver	Broadcast, bee_colony	1145.3	0.0003035118445404551	191
sw-driver	Extended Barabasi-Albert, de	307	0.00016177150973817334	78
rb-driver	1-2-3 Ring, de	667.9	0.003225729251659607	194
rb-driver	1-2-3 Ring, ihs	1999	94.6094624690135	480
ra-driver	Bidirectional ring, pso	1999	80.79424480902733	317
sw-driver	Barabasi-Albert, de+pso	288.4	0.00017905752247315831	74
ak-driver	1-2-3 Ring, de+nelder mead	66.9	0.00000014375237045172184	21
ak-driver	Hypercube, cmaes	1999	16.02412769519777	822
gr-driver	Hypercube, cmaes	1999	105.1039948488144	839
sw-driver	Broadcast, ihs	1999	461.6253735823748	362
sw-driver	Watts-Strogatz, de+praxis	314.5	0.00017822654990595765	86
sw-driver	Barabasi-Albert, pso_gen	1999	2735.8820496487706	315
sw-driver	One-way ring, pso	1999	2930.3408968996814	299
rb-driver	One-way ring, bee_colony	1999	2.711333436211601	425
sw-driver	One-way ring, de+sade	244.2	0.0002001292023123824	55
sw-driver	Hypercube, de+nelder mead	215.1875	0.00016429630613856716	78
ak-driver	Bidirectional ring, de+pso	236.3	0.041108146286994884	61
sw-driver	Extended Barabasi-Albert, de1220	221.8	0.00019413177051319508	51
ak-driver	Hypercube, de+pso	145.4375	0.04483347307894947	58
rb-driver	1-2 Ring, bee_colony	1999	0.011455979625463606	430
sw-driver	Broadcast, de+de1220	453.7	0.00018466494657332078	78
ak-driver	Bidirectional chain, pso	1999	10.980508144989733	365
ak-driver	Bidirectional ring, ihs	1999	2.619057173147852	478
sw-driver	Fully Connected, de+de1220	242.8	0.00019054846234212164	61
ak-driver	One-way ring, bee_colony	87.1	0.043141851654084906	30
ak-driver	One-way ring, de+sade	154.5	0.043252075977033844	44
ak-driver	1-2-3 Ring, de+praxis	63.2	0.0000001672013607567635	21
rb-driver	1-2 Ring, de+nelder mead	47.4	0.0018509259652594824	24
rb-driver	Rim, de+pso	846	0.0016220776262341752	191
ak-driver	One-way ring, de1220	115.5	0.04506348937855309	33
rb-driver	One-way ring, de	733.2	0.0016300632730662217	160
gr-driver	Fully Connected, pso_gen	1999	27.287679213237148	313
ak-driver	Broadcast, de+de1220	312.7	0.04496135658746825	54
gr-driver	Rim, de+praxis	2	0.000000000001460831455801781	8
gr-driver	Fully Connected, de+sade	276.7	0.00010030329076715638	72
ra-driver	Rim, bee_colony	65.5	0.3147810183081674	20
ra-driver	Ageing Extended Barabasi-Albert, pso	1999	89.38615889923138	313
gr-driver	Bidirectional ring, pso	1999	33.74925101952644	314
ak-driver	Rim, xnes	1999	16.61345623511745	419
sw-driver	Extended Barabasi-Albert, ihs	1999	40.18338989926815	431
gr-driver	Bidirectional chain, de+de1220	1999	0.007396040334114895	326
sw-driver	1-2-3 Ring, de+pso	355.8	0.00018947258104162756	85
sw-driver	Bidirectional chain, pso	1999	3079.4588506323003	274
gr-driver	Rim, de+de1220	259.1	0.0000673847411988282	67
gr-driver	Ageing Extended Barabasi-Albert, de+sade	330.1	0.00010961915389573473	79
rb-driver	Bidirectional chain, de+nelder mead	60.7	0.0007653432104617226	24
rb-driver	Bidirectional ring, de+pso	680.5	0.009610520230948143	152
sw-driver	Fully Connected, de+sade	244.5	0.00019503426574374316	99
rb-driver	Broadcast, de+nelder mead	991.3	0.006533660797118413	188
rb-driver	Hypercube, de+nelder mead	444.75	0.005077091314336553	196
ak-driver	Bidirectional ring, pso	1999	10.991852634349764	313
sw-driver	Hypercube, ihs	1999	10.934416956696623	738
ak-driver	Bidirectional ring, de+nelder mead	55.6	0.0000001620227050302958	22
ak-driver	Fully Connected, xnes	1999	16.576329367269608	453
ak-driver	One-way ring, de	196.7	0.038136599174969366	64
sw-driver	Ageing Extended Barabasi-Albert, de+de1220	295.4	0.00019921249440812971	88
sw-driver	Ageing Extended Barabasi-Albert, de+praxis	312	0.00017676841798675014	93
sw-driver	Ageing Extended Barabasi-Albert, de+sade	279.3	0.00018426511815050617	116
sw-driver	Fully Connected, de1220	239.6	0.00013935373135609552	79
sw-driver	Fully Connected, xnes	1999	-495233.2549986298	453
gr-driver	1-2-3 Ring, sade	272.9	0.00010284848126107526	72
ra-driver	Rim, pso_gen	1999	80.92030043200992	324
ra-driver	One-way ring, ihs	1999	3.9651202918909405	411
rb-driver	1-2-3 Ring, de+sade	651.7	0.001260454132084145	155
sw-driver	Hypercube, nsga2	1999	3855.605212796598	542
sw-driver	Bidirectional chain, de	315.9	0.00020206263707223115	73
ak-driver	One-way ring, sade	133.6	0.039926045164307755	36
ak-driver	1-2-3 Ring, de+pso	224.1	0.044186348958828336	54
sw-driver	Bidirectional ring, de+de1220	246.2	0.00019537253319867887	57
ak-driver	Fully Connected, de+nelder mead	104.1	0.00000011539676991745296	29
ak-driver	One-way ring, cmaes	1999	15.419956720769399	414
ra-driver	Barabasi-Albert, ihs	1999	5.071688720909123	415
sw-driver	Ageing Extended Barabasi-Albert, pso	1999	3083.5445540783353	305
ak-driver	One-way ring, nsga2	1999	15.982990904373054	260
ra-driver	Extended Barabasi-Albert, cmaes	1999	145.96523712835614	433
gr-driver	Fully Connected, de+pso	1999	0.007396040334114895	375
ak-driver	Bidirectional chain, de+nsga2	215.8	0.043828611609499024	49
rb-driver	Hypercube, de+sade	414.9375	0.014318507358939964	145
ak-driver	Bidirectional ring, de+de1220	128.2	0.04202258704233275	40
ak-driver	Bidirectional chain, ihs	1999	2.6810111305934687	430
gr-driver	Ageing Extended Barabasi-Albert, de+nsga2	309.4	0.00006217531809882271	75
rb-driver	Rim, de+praxis	58.6	0.0006371130939744021	25
rb-driver	Rim, xnes	1999	53711.731224780204	443
ak-driver	One-way ring, de+praxis	84	0.00000014300895800900548	26
ak-driver	Broadcast, de1220	147.5	0.04523379162494168	29
gr-driver	Bidirectional chain, xnes	1999	121.82494109078436	435
ak-driver	1-2 Ring, de+pso	212.6	0.043490151165589186	56
gr-driver	Bidirectional ring, de+pso	1999	0.027036998028778902	348
sw-driver	Extended Barabasi-Albert, de+praxis	301.4	0.00016572610184084624	71
gr-driver	Extended Barabasi-Albert, cmaes	1999	122.94326295439656	452
ak-driver	Bidirectional ring, bee_colony	80.3	0.045197683516783105	28
ak-driver	Hypercube, sade	91.0625	0.044494876424647334	42
gr-driver	Bidirectional ring, de+sade	1999	0.007396040334114895	323
ak-driver	Bidirectional chain, de	200.9	0.03746595230188676	48
ra-driver	1-2 Ring, nsga2	1999	148.2926908879522	284
ra-driver	1-2-3 Ring, de1220	164.3	0.24675519105042554	46
rb-driver	Bidirectional chain, de+nsga2	685.3	0.004625559804153515	155
sw-driver	Watts-Strogatz, nsga2	1999	4151.80688006227	283
sw-driver	Bidirectional chain, sade	228.7	0.00020203780695737805	56
sw-driver	Barabasi-Albert, pso	1999	2630.1409564888195	318
ak-driver	Hypercube, bee_colony	48.0625	0.045037286508471386	36
ak-driver	Hypercube, de+praxis	148.25	0.0415269474314397	74
ak-driver	Hypercube, ihs	1999	1.7082765829289497	820
ak-driver	1-2 Ring, nsga2	1999	17.433705457958826	296
rb-driver	Barabasi-Albert, nsga2	1999	102861.17688588561	273
ak-driver	Rim, de+nelder mead	95.8	0.00000016368557398394046	32
ak-driver	Barabasi-Albert, sade	138.5	0.044508349727543806	37
gr-driver	Rim, de+pso	1999	0.04173844910355606	362
ak-driver	Rim, de+nsga2	258.2	0.044174909014213615	61
rb-driver	Rim, de+sade	667.1	0.0012273203757446395	177
rb-driver	Rim, bee_colony	1999	0.0021942835385202987	463
ra-driver	One-way ring, de1220	167.6	0.30510986460629397	55
gr-driver	Ageing Extended Barabasi-Albert, sade	248.1	0.00008750222201947544	77
rb-driver	Bidirectional chain, de	662.3	0.008865008868100462	146
sw-driver	Broadcast, de1220	343.6	0.00019134794729325222	61
ak-driver	Bidirectional chain, de+praxis	84.3	0.008476224000578458	26
ak-driver	Broadcast, de+nelder mead	313.3	0.040642918966103725	53
rb-driver	Bidirectional ring, de+nelder mead	56.2	0.0003078210449085576	23
rb-driver	1-2-3 Ring, de+de1220	420	0.002554160566606498	98
sw-driver	Hypercube, pso_gen	1999	2674.010873991461	594
sw-driver	Bidirectional chain, de+sade	276.8	0.00018761941373668378	79
sw-driver	Bidirectional chain, nsga2	1999	3841.874156342133	286
sw-driver	Ageing Extended Barabasi-Albert, de+pso	313.5	0.00019972874179075006	77
gr-driver	Watts-Strogatz, de+sade	1999	0.024590437451775693	349
sw-driver	1-2 Ring, de+pso	360.3	0.00016773209245002363	84
gr-driver	Extended Barabasi-Albert, de	323.1	0.00009776186294796485	96
gr-driver	Barabasi-Albert, de+pso	1999	0.029552183692774014	361
ak-driver	1-2-3 Ring, sade	131.3	0.0450666010320373	38
ak-driver	Barabasi-Albert, de+de1220	190.8	0.0432313318362465	50
gr-driver	Hypercube, de1220	152.1875	0.00011541633140865759	61
ra-driver	Rim, de1220	30.3	0.30827623070214827	198
ra-driver	Bidirectional chain, nsga2	1999	115.57314503155919	556
ra-driver	Bidirectional chain, pso	1999	82.92388484804454	576
sw-driver	Ageing Extended Barabasi-Albert, nsga2	1999	3842.151655804588	307
sw-driver	Ageing Extended Barabasi-Albert, xnes	1999	-464766.04306881246	469
rb-driver	Broadcast, sade	1350.3	0.0034281322756552343	228
gr-driver	Fully Connected, de+de1220	260.9	0.00007260246736062737	87
gr-driver	Broadcast, de+nelder mead	696.2	0.00012179228278275112	136
rb-driver	Fully Connected, de+nelder mead	68.3	0.00038837952371666753	22
rb-driver	Extended Barabasi-Albert, cmaes	1999	107831.71539245974	434
ak-driver	Rim, bee_colony	74.8	0.040328784359506376	47
ak-driver	Rim, de+de1220	111.7	0.04214966838589307	56
ak-driver	1-2 Ring, pso	1999	11.377282723438782	352
sw-driver	Broadcast, bee_colony	97.7	0.0002006874383368995	23
sw-driver	Ageing Extended Barabasi-Albert, cmaes	1999	-472806.64766664023	434
ak-driver	Fully Connected, de	201.6	0.04345929379128366	55
gr-driver	1-2 Ring, de+nsga2	1999	0.034457509806480324	360
gr-driver	Bidirectional ring, de+de1220	1999	0.007396040334114895	353
gr-driver	Bidirectional ring, ihs	1999	1.0989390572156505	460
ak-driver	Barabasi-Albert, de+nelder mead	187.9	0.042188619040932185	50
gr-driver	Hypercube, bee_colony	65.0625	0.0001549910119227338	36
gr-driver	Ageing Extended Barabasi-Albert, de1220	234.8	0.00012772619962919673	85
gr-driver	Extended Barabasi-Albert, de+nsga2	308.1	0.00009124764212109504	105
gr-driver	Ageing Extended Barabasi-Albert, ihs	1999	1.4459468758933802	458
ak-driver	Watts-Strogatz, nsga2	1999	17.337345974787024	282
sw-driver	1-2 Ring, bee_colony	99.6	0.00017711516647977987	34
sw-driver	Rim, de+pso	418	0.00019957251606683712	96
ak-driver	Broadcast, ihs	1999	4.493558220073865	352
rb-driver	Watts-Strogatz, de1220	491.9	0.0028021542545439513	113
sw-driver	Barabasi-Albert, de1220	218	0.00017229756485903636	52
ak-driver	Fully Connected, de+praxis	73.3	0.00000015189878910248922	38
ak-driver	Broadcast, sade	183	0.0447426498543142	54
rb-driver	Barabasi-Albert, de+nelder mead	501.6	0.004806078320592668	135
sw-driver	Ageing Extended Barabasi-Albert, de+nsga2	304.1	0.00019400206201680703	72
rb-driver	Broadcast, de+de1220	1058.1	0.003318428624575379	172
rb-driver	Broadcast, de+pso	971	0.010259825980321607	158
ak-driver	1-2 Ring, de+nsga2	230.8	0.039924829750266344	62
gr-driver	Barabasi-Albert, de+sade	330.3	0.00012576315166556995	80
rb-driver	One-way ring, de+pso	792.7	0.0014794689815821184	179
ak-driver	Hypercube, de+de1220	134.8125	0.042258887791910116	54
gr-driver	1-2-3 Ring, de+nsga2	1999	0.02949824170136306	363
ak-driver	Broadcast, bee_colony	99.8	0.04121409530092679	26
ak-driver	Extended Barabasi-Albert, sade	133.2	0.0434989373335779	42
gr-driver	Broadcast, de+praxis	541.2	0.00020590906205242288	94
rb-driver	One-way ring, de+nelder mead	48.6	0.00039296031301120173	20
rb-driver	One-way ring, de+nsga2	735.4	0.009366929512727573	164
ak-driver	Bidirectional chain, de+nelder mead	77.5	0.00000010964144481206972	36
ak-driver	Rim, de1220	111	0.04350112135064821	45
ak-driver	Rim, pso_gen	1999	10.974879205737011	310
rb-driver	Ageing Extended Barabasi-Albert, de+sade	649	0.004641141460131558	150
rb-driver	Fully Connected, ihs	1999	117.55223066285579	448
ak-driver	Bidirectional ring, de+sade	151.9	0.04312851152814945	51
ak-driver	Bidirectional ring, xnes	1999	15.223935490923854	461
